response_id,environment,customer_industry,customer_job_title,company_size,remote_work_frequency,feel_text,occasion_text,change_text,rating_comfort,rating_focus,rating_professionalism,rating_creativity
S001,executive_boardroom,financial_services,Senior Account Manager,large,fully_remote,The dark wood panelling and leather immediately signalled that this is a serious space. I felt like I needed to sit up straight. There is a gravitas here that I have not experienced in any other virtual meeting tool.,This is exactly where I would host a quarterly business review or a client onboarding session for a major account. Not somewhere I would use for a casual team update.,The ceiling feels slightly low which adds to the sense of pressure. A window with a view would help without losing the authority.,3,4,5,2
S002,executive_boardroom,consulting,Principal Consultant,large,hybrid,It feels professional in a way that video calls never do. The materials are communicating something to the other person before I have even spoken. The dark tones are doing a lot of heavy lifting.,Client presentations. Strategy sessions. Anything where I need the environment to back me up.,Could be slightly less dark. The gravitas is right but the darkness tips into claustrophobic after a long session.,4,4,5,2
S003,executive_boardroom,legal,Partner,large,office_first,Very formal. Almost intimidatingly so. The leather and the dark wood feel like a traditional law firm which is both appropriate for my work and slightly old fashioned.,Contract negotiations. Client briefings. Anything where authority and seriousness are the right tone.,Update the aesthetic slightly. The authority is right but the specific material language reads as very traditional rather than modern professional.,3,4,5,2
S004,executive_boardroom,technology,VP of Sales,large,fully_remote,I felt authoritative and focused. The space told me and whoever I was meeting with that this was a serious conversation. That is genuinely useful when working with enterprise clients who are sceptical of remote meetings.,Client demos. Executive stakeholder meetings. Quarterly reviews.,Some natural light or a view. The enclosed feeling works for short meetings but becomes heavy over an hour.,3,5,5,1
S005,executive_boardroom,real_estate,Head of Commercial Partnerships,medium,hybrid,The materials and the proportions made me feel like I was in a real boardroom. That matters when you are trying to close a deal virtually. There is something about the space that elevated the conversation.,Client pitches. Final negotiations. Anything where the deal is on the line.,Slightly warmer lighting. The dark cool palette is impressive but slightly oppressive after 45 minutes.,4,4,5,2
S006,executive_boardroom,healthcare,Director of Business Development,large,hybrid,Formal and focused. The space made the conversation feel consequential which is what I need when discussing contracts or partnerships.,Partnership discussions. Formal procurement meetings. Not for internal team work.,A window would dramatically improve the experience. The enclosure is otherwise slightly too much.,3,4,5,1
S007,executive_boardroom,financial_services,Private Banker,large,office_first,This feels right for my client base. The dark wood and the leather communicate quality and seriousness which is exactly what high net worth clients expect. It elevates the virtual meeting.,Client relationship meetings. Portfolio reviews. Senior stakeholder presentations.,The lighting needs to be warmer. Currently it reads as slightly cold which undercuts the premium material language.,4,3,5,2
S008,executive_boardroom,technology,Enterprise Account Executive,large,fully_remote,Finally a virtual meeting space that does not embarrass me in front of clients. The environment communicates that we take this seriously. The gravitas is exactly right for C-suite conversations.,Executive meetings. Final contract discussions. Quarterly business reviews.,The view would help for longer sessions. Otherwise this is excellent for the specific use cases it is designed for.,4,4,5,2
S009,executive_boardroom,media,Managing Director,large,hybrid,Impressive and slightly intimidating. I could feel the formality the moment I entered. This changes the dynamic of a virtual meeting in a way I did not expect. It makes the conversation feel real in a way video calls never do.,Board presentations. Client pitches. High stakes negotiations.,Nothing significant. This is doing exactly what it should.,4,4,5,2
S010,executive_boardroom,consulting,Strategy Director,large,fully_remote,The space has authority. It told my client that this was a meeting that mattered. The dark materials and the proportions communicated something that I cannot achieve in a home office on a video call.,Client facing strategy sessions. Senior stakeholder meetings.,Some variation in lighting over a long session. The fixed dark palette becomes heavy at the 90 minute mark.,3,5,5,1
S011,executive_boardroom,financial_services,Institutional Relationship Manager,large,hybrid,Professional and focused. The material quality reads as expensive which aligns with what clients expect. I immediately felt more confident and prepared.,Client meetings. Investment reviews. Any meeting where professional credibility matters.,Soften slightly. The combined effect of dark wood leather and low ceiling is almost too much.,3,4,5,2
S012,executive_boardroom,legal,Senior Associate,large,office_first,The formality is exactly right for client-facing legal work. The space sets the tone before anyone speaks. I found myself being more precise and considered in how I communicated.,Client briefings. Hearings preparation. Partner presentations.,A subtle view element. The complete enclosure is fine for short sessions.,3,4,5,1
S013,executive_boardroom,technology,Chief Revenue Officer,large,fully_remote,This is the first virtual meeting environment that I would be comfortable using for a board presentation. The space communicates the right things about our organisation.,Board meetings. Investor presentations. Executive quarterly reviews.,Natural light source. Even a window showing daylight rather than a view would help.,4,4,5,1
S014,executive_boardroom,professional_services,Managing Partner,large,hybrid,Authoritative and surprisingly immersive. I forgot I was in a headset within the first few minutes. The material language is very well calibrated for senior client meetings.,Client pitches. Annual reviews. Partnership negotiations.,Nothing material. This is a well-designed environment for its specific purpose.,4,4,5,2
S015,executive_boardroom,consulting,Client Engagement Lead,medium,fully_remote,The dark materials and enclosed proportions create a focused intensity that is actually useful for high stakes conversations. It removes the distraction of whatever is visible behind a person on a video call.,Client facing work only. Internal meetings would feel oppressive here.,Lighter ceiling treatment. The vertical compression adds unnecessary pressure.,3,4,5,2
S016,executive_boardroom,financial_services,Head of Institutional Sales,large,hybrid,Formal focused and credible. The three things I need from a client meeting environment. The space is doing work that would normally require an expensive physical office.,Client meetings. Institutional presentations. Formal discussions.,A view option for longer sessions. The complete enclosure is the one limitation.,4,4,5,2
S017,executive_boardroom,technology,Strategic Partnerships Director,large,hybrid,The space communicated seriousness immediately. My counterpart on the other side of the meeting commented on the environment unprompted which was notable. It changed the register of the conversation.,Senior partner discussions. Strategic deal negotiations.,Natural light or a window. Otherwise very strong for this use case.,4,4,5,2
S018,executive_boardroom,real_estate,Commercial Director,large,office_first,The materiality is excellent. Dark wood leather considered proportions. This reads as a serious professional space. For deal-critical conversations this is the right environment.,Major transactions. Client negotiations. Formal presentations.,Some warmth in the lighting. Currently slightly cool for what is otherwise a warm material palette.,3,4,5,2
S019,nature_space,technology,UX Designer,medium,fully_remote,The natural light is extraordinary. I kept having to remind myself I was not in a real room. Something about the simulation of daylight changed my entire experience of the meeting. I felt present in a way that is unusual in VR.,Long working sessions. Creative workshops. Retrospectives. Any session where presence and focus are more important than formality.,The greenery is slightly intense. Dial it back by 30 percent and this would be perfect.,5,3,3,5
S020,nature_space,healthcare,Clinical Research Manager,large,hybrid,I felt genuinely calm. Not the artificial calm of a meditation app but a real reduction in the low-level anxiety that comes with wearing a headset for a long session. The natural light is doing something that I cannot fully explain.,Long research discussions. Team check ins. Any meeting where I need to be focused over a long period.,The botanical elements are slightly too prominent. Let the light and the space do the work.,4,3,3,4
S021,nature_space,education,Department Head,large,office_first,This is the first virtual environment that made me forget I was in a virtual environment. The natural light simulation is extraordinary. I felt calm grounded and genuinely present. This is where I would want to have a long conversation.,Faculty meetings. Research discussions. Any session over an hour.,Less greenery. More architectural structure to anchor it as a workspace.,5,3,3,4
S022,nature_space,technology,Product Manager,medium,fully_remote,Refreshing and genuinely restorative. The contrast with my usual screen-heavy workday is striking. I felt like I had spent time outside rather than in yet another meeting. That is remarkable for a VR environment.,Long planning sessions. Team retrospectives. One on ones where presence matters.,The balance between biophilic elements and work structure could be better calibrated. Currently it reads as a garden first and a meeting space second.,4,3,3,5
S023,nature_space,media,Senior Producer,medium,hybrid,The natural light is the best thing I have experienced in any VR meeting environment. It changed how I felt about being in a headset. I felt less fatigued after a long session in this space than I usually do after a 30 minute video call.,Extended production meetings. Creative sessions. Any long meeting.,The plants are slightly distracting. The light does not need them to work.,5,3,3,5
S024,nature_space,consulting,Organisational Development Consultant,medium,fully_remote,Something about the light made me feel genuinely settled. Not a performance of calm but an actual physiological response. I stayed in the session for longer without the usual cognitive fatigue.,Coaching conversations. Long workshops. Sensitive discussions.,Add some structural furniture that grounds it as a workspace rather than a garden.,4,3,3,4
S025,nature_space,financial_services,Wealth Manager,large,office_first,My own clients respond extremely positively to this environment. The natural light and the biophilic elements communicate care and wellbeing. For certain client conversations about long term planning this is exactly the right register.,Long term planning sessions with clients. Relationship building meetings. Review sessions that benefit from a non-pressured atmosphere.,Some work furniture that makes it clearly a meeting space. Currently ambiguous.,4,3,3,4
S026,nature_space,education,Research Director,large,hybrid,The light simulation is genuinely impressive and the effect on my sense of presence is real. I consistently feel less fatigued in this environment than in any other. That has a real productivity implication for long sessions.,Extended research meetings. Grant discussions. Anything over 90 minutes.,Less botanical intensity. The light alone is enough.,5,3,3,4
S027,nature_space,healthcare,Patient Experience Director,large,hybrid,The naturalness of this space creates a warmth and openness that other environments lack entirely. For conversations about sensitive topics this is the right register. The light makes people feel safe.,Patient centred discussions. Staff wellbeing conversations. Long strategic meetings.,More architectural structure. It currently reads more as a garden than a meeting room.,4,2,3,5
S028,nature_space,technology,Head of Design,medium,fully_remote,The natural light changed my experience of VR more than any other feature I have encountered. I felt genuinely present rather than aware that I was in a simulation. That is a significant technical and design achievement.,Creative reviews. Long working sessions. Retrospectives.,Less greenery. Protect the light and the scale. Let the architecture show more.,5,3,3,5
S029,nature_space,professional_services,Learning and Development Lead,medium,hybrid,Calming and grounding. There is a quality of attention that this environment creates that I find genuinely useful for facilitation work. People seem to listen differently when they are not anxious about the medium.,Facilitated workshops. Learning sessions. Anything where psychological safety matters.,The biophilic elements at the edges are slightly distracting. More restraint would serve the core concept.,4,3,3,4
S030,nature_space,media,Creative Director,medium,fully_remote,The most genuinely pleasant VR environment I have encountered. The light is extraordinary. I felt calm present and creative. The session felt shorter than it was which is the best possible indicator of a good environment.,Creative sessions. Long ideation workshops. Team retrospectives.,The only thing is the garden-room balance. A single strong desk or work surface would anchor it better as a meeting space.,5,3,4,5
S031,nature_space,consulting,Executive Coach,small,fully_remote,The quality of presence in this environment is unlike anything I have experienced in VR. Clients relax in a way they do not in other spaces. The natural light creates genuine psychological safety which is essential for coaching work.,Coaching sessions. Sensitive one on ones. Any meeting requiring openness and trust.,Some architectural grounding. It is excellent for its core purpose but could benefit from clearer work structure.,5,2,3,5
S032,clean_studio,technology,Software Engineer,large,fully_remote,This is the one I would use every day. No distractions. No exploring the environment. I am fully in the meeting. The sterile feeling that some people describe is exactly what I find functional.,Technical reviews. Sprint planning. Architecture discussions. Anything where I need to concentrate.,Nothing. Leave it alone. The absence of distraction is the point.,5,5,4,1
S033,clean_studio,financial_services,Quantitative Analyst,large,office_first,Clean focused and completely out of the way. The environment stops competing with the conversation which is what I want from a meeting space. I am not there to be impressed by the room.,Focused technical discussions. Model reviews. Anything where content is primary.,Slightly warmer light. Otherwise do not change it.,4,5,4,2
S034,clean_studio,technology,Data Scientist,medium,fully_remote,The absence of visual noise is genuinely liberating. I found myself more focused on what was being said and less on environmental details. For technical meetings this is the most functional environment.,Data reviews. Technical discussions. Sprint planning.,A subtle texture on one wall. A raw concrete surface. Something that gives weight without adding distraction.,4,5,4,1
S035,clean_studio,professional_services,Management Consultant,large,fully_remote,Functional and completely non-distracting. The emptiness is a feature not a bug. I could concentrate entirely on the content and the people.,Focused agenda meetings. Client reviews where the deliverable is the centre of attention.,A warmer light temperature. The current cool white becomes clinical over a long session.,3,5,4,2
S036,clean_studio,technology,Engineering Manager,large,fully_remote,This is the only environment where I am not slightly distracted by the space itself. That is the right outcome for a meeting. The controversy about it feeling sterile is valid but the functionality is real.,Technical discussions. Code reviews. Anything requiring sustained analytical focus.,One element of texture. Not decoration. Just a surface that has materiality.,4,5,4,1
S037,clean_studio,consulting,Strategy Analyst,medium,hybrid,Blank but functional. I stayed focused throughout in a way that was harder in the more visually interesting environments. The tradeoff between beauty and function is stark here and function wins for working meetings.,Working sessions. Analysis reviews. Content-heavy meetings.,A single texture or material element. Not more. Just one.,3,5,3,2
S038,clean_studio,financial_services,Risk Analyst,large,office_first,Very clean. Very functional. Not comfortable in an aesthetic sense but highly effective for focused work. The absence of any ambient detail means nothing competes with the content.,Risk reviews. Technical model walkthroughs. Regulatory discussions.,Warmer light temperature. The clinical coolness is the one thing that could be addressed without compromising the concept.,4,5,4,1
S039,clean_studio,technology,Product Director,large,fully_remote,The polarising quality of this environment is its most interesting feature. People who need visual interest to feel comfortable find it cold. People who need visual quiet to concentrate love it. I am in the latter group.,Deep work meetings. Technical strategy. Any meeting where ideas are the centre.,Nothing for me. Some clients would want textures or a view. I would leave it alone.,4,5,4,1
S040,clean_studio,professional_services,Senior Auditor,large,office_first,Focused and appropriately serious without the intimidation of the boardroom. For detailed review work this is exactly right. I can look at documents and talk through findings without the environment demanding any attention.,Audit reviews. Detailed technical discussions. Focused agenda sessions.,A warmer light source. The current white light is slightly cold for a long session.,4,5,4,1
S041,clean_studio,technology,CTO,large,fully_remote,The most productive meetings I have had in VR have been in this environment. The space disappears and all that is left is the work. That is a remarkable design achievement even if the aesthetic is controversial.,Technical leadership meetings. Architecture reviews. Strategic technical discussions.,Nothing. It achieves its purpose.,5,5,4,1
S042,clean_studio,media,Head of Technology,large,hybrid,Stark but effective. I found my attention returning to the speaker more consistently in this environment than in any other. The lack of visual interest is genuinely functional rather than merely lazy.,Technical production meetings. Systems discussions. Anything content heavy.,A single texture. Enough to give the space weight without adding distraction.,3,5,4,1
S043,clean_studio,consulting,Operations Manager,medium,hybrid,I understand why some people find it empty. For me the emptiness is the whole point. A meeting room should not compete with the meeting.,Status updates. Process reviews. Structured agenda sessions.,Slightly warmer light temperature. Otherwise leave it.,3,5,4,2
S044,residential_warm,technology,Customer Success Manager,medium,fully_remote,The warmth is immediately affecting. The textures are beautiful and the domestic scale makes difficult conversations feel more human. For remote clients who have never met in person this creates a shared comfortable context.,Team retrospectives. Sensitive one on ones. Onboarding conversations with new remote contacts.,Remove some of the more residential objects. A desk rather than a sofa as the central furniture piece would help calibrate it between home and work.,4,2,3,4
S045,residential_warm,education,Faculty Member,large,hybrid,Comfortable and warm but too informal for anything that requires professional authority. I felt at home which is both the strength and the limitation. For sensitive conversations this would be excellent.,Pastoral conversations. Informal meetings. Nothing external or formal.,Some work furniture. A bookcase or a desk. Something that acknowledges this is also a professional context.,5,2,2,4
S046,residential_warm,healthcare,Patient Engagement Manager,medium,hybrid,The warmth genuinely reduced my usual low-level anxiety about VR meetings. I felt relaxed and present. For conversations that require openness this is by far the best environment.,Patient family meetings. Team wellbeing conversations. Sensitive stakeholder discussions.,The fully domestic quality could be softened slightly. Keep the warmth but reduce the living room specificity.,5,2,3,5
S047,residential_warm,professional_services,HR Director,large,hybrid,For sensitive conversations this environment is doing something no physical office space can easily replicate. The warmth communicates care. For difficult conversations about performance or personal challenges this is the right space.,Sensitive performance conversations. Wellbeing discussions. Informal team connection sessions.,A slight calibration between home and office. The residential elements are beautiful but the space tips slightly too far into living room.,4,2,3,4
S048,residential_warm,technology,People Operations Lead,medium,fully_remote,The psychological safety this environment creates is real and measurable. My team opens up more in this space than any other. The warmth is not superficial - it changes the quality of the conversation.,Difficult conversations. Team retrospectives. Onboarding sessions. Anything requiring trust.,Some structural elements that anchor it as a work space. The warmth is perfect. The balance between home and work could be better calibrated.,5,2,3,5
S049,residential_warm,consulting,Executive Coach,small,fully_remote,The warmth and the domestic texture create exactly the environment I need for coaching conversations. Clients relax in a way they do not in formal spaces. The environment does preparation work that would otherwise take me thirty minutes.,Coaching sessions. Sensitive discussions. Anything where psychological safety is the primary requirement.,Slightly less living room and slightly more ambiguous work-home space. The warmth is right. The specificity is slightly too domestic.,5,1,2,4
S050,residential_warm,media,Brand Director,large,hybrid,Beautiful but confusing. The warmth is extraordinary but I was not sure whether I was at work or at home. For a social event or a team celebration this would be perfect. For a business review it would not work at all.,Team socials. Creative team events. Informal team building. Nothing client facing.,Some professional anchoring. A desk. A work surface. Something that places this on the work side of the home-work spectrum.,4,1,2,5
S051,residential_warm,financial_services,Relationship Manager,large,office_first,Comfortable but inappropriate for my client base. High net worth clients would find the domestic setting unusual for a financial review. The warmth is real but the occasion mismatch is significant.,Internal team events only. Not for any client facing work.,Create a version that keeps the warmth but elevates the professional register.,2,1,3,4
S052,residential_warm,education,Senior Lecturer,large,hybrid,Genuinely warm and inviting. For conversations with students about wellbeing or pastoral support this is exactly right. It says this is a safe space in a way that a formal office never could.,Student support conversations. Informal faculty discussions. Team socials.,A reading corner or bookcase would add a professional dimension without losing the warmth.,5,2,3,5
S053,residential_warm,healthcare,Staff Wellbeing Lead,medium,hybrid,The environment does something remarkable for conversations about mental health and wellbeing. The warmth communicates care and the informal register reduces the clinical distance that makes those conversations difficult.,Wellbeing discussions. Difficult HR conversations. Anything where human warmth is the primary requirement.,Very minor. Perhaps a plant or something that connects the domestic warmth to natural elements.,5,1,3,5
