response_id,environment,customer_industry,customer_job_title,company_size,remote_work_frequency,feel_text,occasion_text,change_text,rating_comfort,rating_focus,rating_professionalism,rating_creativity
S054,residential_warm,technology,Engineering Lead,large,fully_remote,Too casual for technical work. I found myself in a lower energy state which is not what I need for a technical discussion. For a social event with my team this would be excellent. For work it is not right for me.,Team social events. End of sprint celebrations. Informal catch ups.,Inject some professional energy. Better lighting. A work surface visible somewhere.,2,1,2,3
S055,futuristic_tech,technology,Senior Software Engineer,large,fully_remote,This is what VR should be. It does not try to simulate a physical space - it commits to being something only VR can be. The ambient glow and the geometric surfaces feel native to the medium. I find that genuinely exciting.,Product roadmap sessions. Technical showcases. Innovation discussions.,The ambient glow intensity is slightly too much after 20 minutes. Dial it back slightly.,5,4,4,4
S056,futuristic_tech,technology,Product Manager,medium,fully_remote,Visually impressive but I found myself feeling slightly detached after the initial excitement. There is something in the absence of organic or imperfect material that creates distance rather than connection.,Tech demos. Product launch briefings. Innovation announcements.,One organic element. One texture that is not perfectly resolved. A small imperfection would paradoxically make it more compelling.,3,4,4,3
S057,futuristic_tech,technology,Solutions Architect,large,hybrid,I love this. The aesthetic is native to the technology and it signals innovation and forward thinking in a way that a simulated boardroom never could. For clients who work in technology this is the right environment.,Technical architecture reviews. Innovation sessions. Client demos for tech-native clients.,The ambient audio is slightly distracting. The visuals are excellent.,5,4,4,4
S058,futuristic_tech,professional_services,Management Consultant,large,fully_remote,Impressive for two minutes and then slightly alienating. The geometric perfection becomes oppressive in a different way to the boardroom. After about ten minutes I was aware of a mild unease I could not attribute to anything specific.,Tech demos only. Very specifically. Nothing that requires warmth or genuine connection.,One human-scale element. One imperfect surface. The resolved aesthetic is its strength and its limitation.,2,3,3,2
S059,futuristic_tech,media,Digital Director,medium,hybrid,The visual language is genuinely innovative. For clients in the technology sector this would be impressive and appropriate. For my broader client base which includes traditional industries it would be alienating.,Digital product showcases. Tech client meetings. Innovation announcements.,The absence of warmth is the issue. One organic element would make it habitable for a wider range of clients.,3,4,4,3
S060,futuristic_tech,technology,Innovation Lead,large,fully_remote,This is where I want to have every innovation meeting. The environment signals that we are thinking about what is possible rather than what is familiar. The geometric language and the ambient glow create exactly the right register for breakthrough thinking.,Innovation sprints. Product vision sessions. Strategic technology discussions.,Make it slightly less intense for longer sessions. A focus mode that reduces the ambient glow would extend the usability.,5,4,4,5
S061,futuristic_tech,financial_services,Fintech Product Director,large,fully_remote,For technology products this is exactly right. The aesthetic language communicates innovation and precision. For traditional finance clients this would be completely wrong but for fintech this works.,Fintech product demos. Innovation roadmap sessions. Tech-forward client meetings.,The ambient glow at full intensity becomes slightly overwhelming at the 30 minute mark.,4,4,4,4
S062,futuristic_tech,technology,Head of Engineering,large,fully_remote,Genuinely exciting. The space makes meetings feel like they matter and signals that the company is thinking about the future. That has a motivational effect that is hard to achieve in conventional environments.,All internal engineering meetings. Technical discussions. Innovation sessions.,Slightly less ambient intensity for longer sessions. Otherwise this is excellent for tech-native teams.,5,4,4,4
S063,futuristic_tech,consulting,Digital Transformation Consultant,large,hybrid,The aesthetic is technically impressive but creates a barrier to genuine connection. I use this with clients who have a digital-first mindset. For traditional clients it would undermine the meeting entirely.,Digital transformation discussions with tech-native clients only.,One warm element. One texture that acknowledges the human body is present in this space.,3,4,4,3
S064,futuristic_tech,education,EdTech Director,medium,fully_remote,Students respond extremely positively to this environment. It signals that learning is forward-thinking and innovative. The aesthetic has genuine motivational value for tech-oriented programmes.,Technology-focused student sessions. EdTech demos. Innovation discussions.,The intensity could be reduced for longer sessions. Very effective for the specific context.,4,4,4,4
S065,futuristic_tech,technology,Platform Lead,large,hybrid,The geometric precision and the ambient quality create an environment that feels genuinely distinct from anything in the physical world. That distinctiveness is valuable. It signals that VR is doing something new rather than poorly simulating the old.,Product strategy sessions. Platform architecture reviews. Innovation discussions.,One small imperfection would make it feel inhabited rather than rendered.,4,4,4,4
S066,city_loft,media,Creative Director,medium,fully_remote,The creative energy is the highest of any environment I have seen. The city view gives energy without being aggressive. The industrial materials are warm and honest. This is where I want to have every creative conversation.,Creative briefings. Campaign planning. Pitch preparation. Any session where generative thinking is needed.,The dusk lighting is extraordinary. Make it the default. It changes the quality of the space entirely.,5,3,4,5
S067,city_loft,technology,Head of Design,medium,hybrid,The industrial warmth appeals to me more than the nature space. This is clearly a made environment but it is a good one. The city view gives a sense of connection to the wider world without pretending to be something else.,Creative reviews. Design critiques. Team ideation sessions.,An option to reduce the city view intensity for longer sessions. The energy that is an asset for short sessions becomes a distraction at the 90 minute mark.,4,3,3,5
S068,city_loft,media,Head of Strategy,large,hybrid,The tension between the interior and the exterior city view creates a productive energy. I find myself thinking more expansively here than in other environments. The space encourages a certain kind of thinking.,Creative strategy. Brand planning. Any session where imagination is required.,A focus mode for longer sessions. The city view is brilliant for opening a creative session and slightly distracting for closing one.,5,3,4,5
S069,city_loft,consulting,Innovation Consultant,medium,fully_remote,The industrial aesthetic is honest and warm at the same time. It does not pretend to be a garden or a luxury office. It is a well designed studio and that honesty is appealing. I find myself thinking more laterally here.,Creative problem solving. Innovation workshops. Client ideation sessions.,The dusk lighting setting should be the default. It elevates the whole space.,5,3,3,5
S070,city_loft,technology,Principal Designer,medium,fully_remote,This is my favourite environment across the entire set. The combination of industrial warmth and city energy creates something that feels genuinely alive. I feel more creative here than anywhere else.,Creative design sessions. Team ideation. Portfolio reviews. Collaborative work.,A way to manage the city view intensity across a long session.,5,3,3,5
S071,city_loft,professional_services,Brand Consultant,small,fully_remote,The creative energy is immediately apparent. The industrial materials and the city view create a backdrop for ambitious thinking. For brand strategy and creative work this is exactly the right context.,Brand strategy sessions. Creative workshops. Client ideation.,A subtle acoustic treatment signal. Something that implies this is also a workspace rather than just a view.,4,3,4,5
S072,city_loft,media,Executive Producer,large,hybrid,Energising and slightly distracting. The city view pulls my attention in a way that is productive for the first hour and slightly problematic for the second. The environment has a session length ceiling.,Short creative sessions. Pitch meetings. Briefings. Not for extended working days.,A focus mode that dims the exterior without removing it entirely.,4,3,4,5
S073,city_loft,technology,UX Research Lead,medium,fully_remote,The city view gives a quality of presence and connection that I have not found in the more enclosed environments. I feel like I am somewhere real even though the somewhere is a virtual studio.,Creative research sessions. Team retrospectives. Ideation workshops.,An option to adjust the city view. High energy for a brainstorm low intensity for a research analysis session.,4,3,3,5
S074,city_loft,consulting,Creative Strategist,medium,fully_remote,The industrial honesty is rare and refreshing. Most environments in this category try to simulate something natural or prestigious. This one commits to being a well-designed made space and that commitment shows.,Creative strategy. Design thinking workshops. Innovation sessions.,The dusk lighting is the peak of the experience. Build on that.,5,3,4,5
S075,city_loft,media,Content Director,medium,hybrid,The creative energy peaks at the start of a session and wanes slightly at the two hour mark. This is the environment I would choose for a one hour creative brief or pitch preparation. Not for a full day working session.,Short creative sessions. Pitch prep. Team briefings. Social events.,A session mode that manages the city view intensity over time.,4,3,3,5
S076,city_loft,professional_services,Marketing Director,large,fully_remote,This is where I would pitch every campaign concept. The space is already doing the work of saying this is somewhere interesting things happen. The city view is aspirational without being unrealistic.,Campaign pitches. Creative reviews. Client ideation sessions.,Nothing material. The dusk lighting especially is extraordinary.,5,3,4,5
S077,executive_boardroom,professional_services,Partnership Director,large,hybrid,The dark materials and the considered proportions create an environment that immediately elevates the quality of conversation. I found myself and my clients speaking more precisely and deliberately.,Major partnership discussions. Formal reviews. Strategic negotiations.,A view element for sessions over 60 minutes. The enclosure is right for shorter meetings.,3,4,5,1
S078,nature_space,professional_services,Wellbeing Consultant,small,fully_remote,The most genuinely restorative virtual environment I have encountered. The natural light creates a quality of presence that I use specifically with clients who are anxious about virtual meetings. It removes the technology anxiety.,Client meetings where anxiety is present. Sensitive discussions. Long consultations.,More architectural structure to anchor the work context.,5,2,3,5
S079,clean_studio,technology,Technical Architect,large,fully_remote,The environment achieves maximum transparency between the meeting content and the participants. Nothing competes. For technical work where precision and focus are required this is the correct choice.,Technical design sessions. Architecture reviews. Complex problem solving.,A single material element. Not decorative. Just structural weight.,4,5,4,1
S080,residential_warm,healthcare,Therapy Services Manager,medium,hybrid,For therapeutic and support conversations this environment is exceptional. The warmth communicates care and safety in a way that clinical environments deliberately avoid. The clients I work with respond extremely positively.,Therapeutic and support conversations. Wellbeing sessions. Sensitive team discussions.,A plant or natural element to connect the warmth to something living.,5,1,3,5
S081,futuristic_tech,technology,AI Research Lead,large,fully_remote,The aesthetic is the most native to the medium of any environment in the set. For conversations about the future of technology this is genuinely the right context. The environment has a motivational quality that is difficult to achieve elsewhere.,AI and technology research discussions. Innovation strategy. Technical vision sessions.,Less ambient intensity for longer sessions. The concept is excellent.,5,4,4,5
S082,city_loft,media,Senior Art Director,medium,fully_remote,The combination of industrial warmth and city energy is the most successful design in the set. It feels genuinely inhabited and genuinely inspiring at the same time. The dusk lighting moment is something I look forward to.,Creative direction sessions. Art direction reviews. Pitch preparation.,Protect the dusk lighting. It is extraordinary.,5,3,4,5
S083,executive_boardroom,legal,General Counsel,large,office_first,The space communicates something important about how we take legal and contractual conversations seriously. It elevates the virtual meeting. For formal legal discussions this is the correct environment.,Contract discussions. Legal reviews. Formal consultations.,Natural light source. Even a diffuse window would help in sessions over an hour.,4,4,5,2
S084,nature_space,consulting,Leadership Coach,small,fully_remote,The quality of attentional presence this environment creates is unlike anything else in the set. Clients arrive more settled and leave less depleted. For coaching and development conversations this is extraordinarily effective.,Leadership coaching. Development conversations. Sensitive strategic discussions.,More architectural definition to anchor it as a work space.,5,2,3,4
S085,clean_studio,financial_services,Portfolio Manager,large,office_first,Clean and completely functional. For discussions about numbers and analysis the absence of any environmental distraction is exactly right. The content stays primary throughout.,Portfolio reviews. Risk discussions. Performance analysis.,Warm light temperature. The current cool white is the one thing I would change.,4,5,4,1
S086,residential_warm,education,Pastoral Care Coordinator,medium,hybrid,This environment is exceptional for sensitive educational conversations. The warmth and the domestic scale create a safety that formal environments can never achieve. Students open up in this space in a way that is remarkable.,Student support. Pastoral conversations. Team wellbeing discussions.,Nothing material. The warmth is exactly right for these purposes.,5,1,3,5
S087,futuristic_tech,technology,Developer Relations Lead,large,fully_remote,The most forward-looking environment in the set. For conversations with developer communities and technology partners this signals that we are thinking about what is possible. The aesthetic has genuine credibility for this audience.,Developer conferences. Technology partner meetings. Innovation discussions.,The ambient audio element is the one thing I would reduce.,4,4,4,4
S088,city_loft,technology,Design Lead,medium,fully_remote,The creative energy and the visual interest of this environment produce a different quality of thinking. I have had conversations here that I could not have had in a more neutral space. The environment is a creative collaborator.,Creative design sessions. Ideation workshops. Team design reviews.,A mode that manages the city view over a long session.,5,3,4,5
S089,executive_boardroom,technology,VP of Enterprise,large,fully_remote,For enterprise client conversations this environment does something that no amount of video call setup can replicate. It communicates that we take these conversations seriously in a way that is spatial rather than merely verbal.,Enterprise client meetings. Executive stakeholder sessions. Formal reviews.,Natural light. For sessions over an hour the enclosure becomes a limitation.,4,4,5,2
S090,nature_space,financial_services,Private Client Advisor,large,hybrid,Certain clients respond to this environment with an immediate relaxation that changes the quality of the conversation. For long term financial planning conversations the warmth and the natural light create exactly the right register.,Long term planning sessions. Sensitive financial discussions. Relationship building meetings.,More structural furniture to anchor the professional context.,4,3,3,4
S091,clean_studio,consulting,Process Improvement Consultant,medium,fully_remote,The functional clarity of this environment is excellent for content-heavy meetings. The space does not compete. For structured agenda sessions this is the most effective environment in the set.,Process reviews. Structured workshops. Detailed analysis sessions.,A warmer light source. Otherwise do not change it.,4,5,4,1
S092,residential_warm,technology,Community Manager,medium,fully_remote,The warmth creates a sense of shared humanity that remote work often lacks. For conversations about team culture and connection this is invaluable. It communicates that the people in the meeting matter as much as the agenda.,Team culture sessions. Community building. Difficult conversations about team dynamics.,A subtle professional anchor. A desk or a bookcase. Enough to signal that this is still work.,5,1,3,5
S093,futuristic_tech,media,Head of Digital Innovation,medium,hybrid,For conversations about digital futures and innovation this environment is the right backdrop. The aesthetic has credibility with technology-forward clients. For traditional media clients it would need careful introduction.,Digital innovation sessions. Technology client meetings. Forward-looking strategy.,One element of warmth. The space is excellent for its specific use case.,4,4,4,4
S094,city_loft,consulting,Brand Strategist,small,fully_remote,The industrial warmth and the city energy combine to create an environment that is genuinely inspiring. I think more expansively here than in any other space. The environment has a quality that I can only describe as generative.,Brand strategy sessions. Creative consulting. Innovation workshops.,Protect the dusk lighting. It is the best feature of any environment in this set.,5,3,4,5
S095,executive_boardroom,consulting,Transformation Director,large,hybrid,The authority of this environment is exactly what I need for senior client conversations. The materials communicate seriousness and quality in a way that remote meetings usually cannot. For C-suite work this is the correct choice.,C-suite client meetings. Transformation steering sessions. Executive presentations.,Natural light would extend the usability for longer sessions.,4,4,5,2
S096,nature_space,technology,Remote Work Specialist,small,fully_remote,The most effective antidote to VR fatigue I have encountered. The natural light and the biophilic elements create a genuine restorative quality. For fully remote teams running long virtual sessions this environment has a real productivity benefit.,All day virtual working sessions. Long workshops. Extended team collaboration.,Less botanical intensity. The light alone is the hero of this space.,5,3,3,4
S097,clean_studio,technology,Head of Product,large,fully_remote,The environment that makes the most of what a meeting space should be. Nothing competes. The work is primary. For a product team running focused sessions this is excellent.,Product reviews. Sprint planning. Technical strategy.,A texture. Just one material surface with weight. Enough to make it feel like a considered space.,4,5,4,1
S098,residential_warm,professional_services,Organisation Consultant,medium,hybrid,The environment creates conditions for vulnerability and honesty that formal spaces actively prevent. For organisation development conversations where trust is the precondition for progress this is extraordinarily effective.,Organisation development sessions. Culture work. Sensitive leadership conversations.,Minor calibration between residential and professional. The warmth is perfect.,5,1,3,5
S099,futuristic_tech,technology,Head of Platform,large,fully_remote,The geometric precision and the ambient glow create an environment that feels genuinely evolved from our current meeting tools. For teams that are building the future this is an appropriate place to discuss it.,Platform strategy. Technical vision. Engineering leadership sessions.,The ambient intensity for sessions over 45 minutes. A focus mode would be very useful.,4,4,4,4
S100,city_loft,professional_services,Creative Director,small,fully_remote,The dusk light coming through industrial windows while talking about a brand strategy is an experience I did not expect to value so much. The environment adds something to the quality of creative thinking that I can observe but not fully explain.,Creative strategy. Brand development. Client ideation.,Nothing. The dusk lighting especially is something I would not change.,5,3,4,5
S101,executive_boardroom,financial_services,Head of Capital Markets,large,office_first,The proportions and the materials create an environment that my institutional clients find credible and appropriate. The space communicates sophistication in a way that positions the conversation correctly before it begins.,Institutional client meetings. Capital markets discussions. Senior stakeholder sessions.,A window showing daylight. Not a view. Just light. The enclosure is otherwise appropriate.,4,4,5,2
S102,nature_space,healthcare,Head of Organisational Psychology,medium,hybrid,The physiological effect of the natural light simulation is observable in clients. Reduced tension better eye contact more natural speech. For conversations about human experience and wellbeing this is the most effective environment in the set.,Psychological consultations. Organisational development work. Senior leadership coaching.,More structural definition. The environment is psychologically excellent. The work context could be clearer.,5,2,3,5
S103,city_loft,technology,Innovation Director,large,fully_remote,The environment generates a specific quality of thinking that I cannot produce as reliably anywhere else. There is something about the tension between the contained interior and the open city view that creates expansive thinking.,Innovation strategy. Creative technology sessions. Team ideation.,A session mode that manages the city view energy across a long day.,5,3,4,5
S104,clean_studio,consulting,Senior Strategy Consultant,large,fully_remote,The most effective environment for sustained analytical work. The space vanishes and all that remains is the problem and the people. For consulting work where ideas are primary this is the correct environment.,Complex analytical sessions. Strategic work. Problem solving workshops.,A warmer light temperature. The one and only change I would make.,4,5,4,1
S105,residential_warm,media,Head of Talent,large,hybrid,For conversations about people the warmth of this environment is not superficial. It changes the quality of listening and the openness of the conversation. For talent management and development discussions this is the best environment in the set.,Talent discussions. Career development conversations. Wellbeing sessions.,A subtle professional anchor. A work surface or bookcase. Enough to signal that this is also a professional context.,5,1,3,5
S106,futuristic_tech,technology,Principal Research Scientist,large,fully_remote,The precision and the ambient quality of this environment feel genuinely appropriate for conversations about advanced technology. The aesthetic has the credibility that comes from commitment to a vision rather than compromise.,AI research discussions. Scientific collaboration. Technology vision sessions.,A warm accent somewhere. Not much. Just enough to acknowledge embodiment.,5,4,4,5
S107,city_loft,media,Head of Creative Technology,medium,fully_remote,The creative technology aesthetic of this space aligns with the work I do. The industrial materials and the city view create a context for conversations about where creativity and technology intersect.,Creative technology sessions. Digital creative reviews. Innovation briefings.,The dusk lighting as the default. Everything else is already excellent.,5,3,4,5
S108,nature_space,professional_services,Executive Facilitator,small,fully_remote,The single most effective facilitation environment I have encountered in VR. The natural light creates an attentional quality that I spend considerable effort trying to create artificially in physical spaces. For facilitation work this environment has no competition.,All facilitated sessions. Workshops. Long meetings requiring sustained attention.,Less botanical intensity. The light is the extraordinary feature and should be the hero.,5,3,4,5
